Index,기능,Method,API Path,Request,Response
AUTH-001,카카오 로그인,POST,/api/v1/auth/kakao/login,KakaoLoginRequest (KakaoLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/KakaoLoginRequest%203919e2d9440581129fb7e1b7e818834c.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
AUTH-002,애플 로그인,POST,/api/v1/auth/apple/login,AppleLoginRequest (AppleLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/AppleLoginRequest%203919e2d9440581cca6eee5b1b388aba8.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
AUTH-003,네이버 로그인,POST,/api/v1/auth/naver/login,NaverLoginRequest (NaverLoginRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/NaverLoginRequest%203919e2d94405818f972dd0a652e44222.md)),LoginResponse (LoginResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/LoginResponse%203919e2d94405818abd1edb83e0f960f7.md))
AUTH-004,온보딩 완료,POST,/api/v1/auth/onboarding/complete,OnboardingCompleteRequest (OnboardingCompleteRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingCompleteRequest%203919e2d944058174b021d7b6ff319a86.md)),OnboardingCompleteResponse (OnboardingCompleteResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/OnboardingCompleteResponse%203919e2d9440581a79c12f0250eed1afe.md))
AUTH-005,로그아웃,POST,/api/v1/auth/logout,None,Empty success response
AUTH-006,토큰 재발급,POST,/api/v1/auth/reissue,ReissueRequest (ReissueRequest (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/ReissueRequest%203929e2d9440581c0a4d6dd81e6762b39.md)) or refreshToken cookie,TokenResponse (TokenResponse (API%20%EB%AA%85%EC%84%B8%EC%84%9C/DTO(%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%84%EB%8B%AC%20%EA%B0%9D%EC%B2%B4)/TokenResponse%203909e2d9440581139390e591613d6fcb.md))
COMM-001,커뮤니티 게시글 목록 조회,GET,/api/v1/community/posts,"Query: postType, cropId, keyword, page, size",PageResponse<CommunityPostResponse>
COMM-002,커뮤니티 게시글 생성,POST,/api/v1/community/posts,CommunityPostCreateRequest,CommunityPostResponse
COMM-003,커뮤니티 게시글 상세 조회,GET,/api/v1/community/posts/{postId},None,CommunityPostResponse
COMM-004,커뮤니티 게시글 수정,PATCH,/api/v1/community/posts/{postId},CommunityPostUpdateRequest,CommunityPostResponse
