이름,API 분류,태그
DTO Template,API Response,[인증] 계정
EmailRequest,API Response,[인증] 계정
SignUpRequest,API Response,[인증] 계정
TokenResponse,API Response,[인증] 계정
UserProfileUpdateRequest,API Request,[회원] 유저 정보
UserProfileResponse,API Response,[회원] 유저 정보
FarmUpdateRequest,API Request,[농장] 농지
IdResponse,API Response,[공통] 공통
FarmResponse,API Response,[농장] 농지
ApiErrorResponse,API Response,[공통] 공통
FarmCreateRequest,API Request,[농장] 농지
CropResponse,API Response,[작물] 작물
PageResponse,API Response,[공통] 공통
AuthLoginRequest,API Request,[인증] 계정
WithdrawUserRequest,API Request,[회원] 유저 정보
UserCropResponse,API Response,[작물] 작물
UserCropUpsertRequest,API Request,[작물] 작물
RecordFieldValueRequest,API Request,[영농일지] 기록
WorkTypeFieldResponse,API Response,[영농일지] 기록
RecordMediaUploadRequest,API Request,[영농일지] 기록
CoachingFeedbackResponse,API Response,[AI] 분석
FarmingRecordCreateRequest,API Request,[영농일지] 기록
FarmingRecordResponse,API Response,[영농일지] 기록
FarmingRecordUpdateRequest,API Request,[영농일지] 기록
WorkTypeResponse,API Response,[영농일지] 기록
VoiceSessionTranscriptUpdateRequest,API Request,[음성] 세션
VoiceSessionConfirmRequest,API Request,[음성] 세션
AiParseCandidateResponse,API Response,[AI] 분석
VoiceSessionTurnRequest,API Request,[음성] 세션
FarmingReportResponse,API Response,[리포트] 리포트
VoiceSessionCreateRequest,API Request,[음성] 세션
RecordFieldValueResponse,API Response,[영농일지] 기록
VoiceSessionResponse,API Response,[음성] 세션
RecordMediaResponse,API Response,[영농일지] 기록
CommunityPostResponse,API Response,[커뮤니티] 커뮤니티
NotificationPreferenceResponse,API Response,[알림] 알림
PolicyProgramResponse,API Response,[정책] 정책
CommunityCommentResponse,API Response,[커뮤니티] 커뮤니티
PolicyRecommendationResponse,API Response,[정책] 정책
SearchResponse,API Response,[검색] 검색
LegalDocumentResponse,API Response,[약관] 약관
NotificationPreferenceUpdateRequest,API Request,[알림] 알림
CommunityPostUpdateRequest,API Request,[커뮤니티] 커뮤니티
AcceptCommentResponse,API Response,[커뮤니티] 커뮤니티
UserConsentResponse,API Response,[약관] 약관
UserConsentRequest,API Request,[약관] 약관
CommunityPostCreateRequest,API Request,[커뮤니티] 커뮤니티
CommunityCommentCreateRequest,API Request,[커뮤니티] 커뮤니티
CommunityCommentUpdateRequest,API Request,[커뮤니티] 커뮤니티
KakaoLoginRequest,API Request,[인증] 계정
OnboardingCompleteRequest,API Request,[회원] 유저 정보
LoginResponse,API Response,[인증] 계정
NaverLoginRequest,API Request,[인증] 계정
OnboardingResponse,API Response,[인증] 계정
OnboardingCompleteResponse,API Response,[회원] 유저 정보
AppleLoginRequest,API Request,[인증] 계정
MemberProfileResponse,API Response,[회원] 유저 정보
VerifyEmailCodeRequest,API Request,[인증] 계정
ReissueRequest,API Request,[인증] 계정
SendVerificationCodeRequest,API Request,[인증] 계정
